model,iou,inferency/number of parameters,inferency/macs,inferency/flops,inferency/inference_memory_@1,inferency/throughput/batch_size,inferency/throughput/value,pre-acc
metrics_coat_tiny_224,0.039713401,5733291,33223017113,34437621482,1026958336,4096,2712.978911837845,0.780989826
metrics_coat_tiny_384,0.05888534,5733291,97027563737,100577000000,2885343232,1024,939.0326640979415,0.780989826
metrics_coat_tiny_512,0.061681680381298065,5733291,172264000000,178568000000,5104979456,512,526.9638195543469,0.780989826
metrics_convvit_S_224,0.37642568349838257,21927767,48099154349,44580825615,980348416,4096,6670.582437033356,82.29
metrics_convvit_S_384,0.3992454409599304,21927767,137074000000,150680000000,3610699776,512,1695.651960789846,82.29
metrics_convvit_S_512,0.40738558769226074,21927767,243424000000,317918000000,8545313280,128,765.8660617453924,82.29
metrics_efficientmod_S_224,0.20784783363342285,9786839,10951939852,11153100558,498416640,16384,7940.666825347012,81.9
metrics_efficientmod_S_384,0.3072088062763214,9786839,29652881932,34531134478,1275316224,4096,2741.2159516551797,81.9
metrics_efficientmod_S_512,0.30690282583236694,9786839,51748528652,69486259214,2107903488,2048,1543.6336553390352,81.9
metrics_efficientnet_S_224,0.026328,18482311,76788482794,33650787276,1204061184,1024,4502.557166,71.52
metrics_efficientnet_S_384,0.064628,18482311,220570000000,93764269452,3166864384,512,1722.2636479976804,71.52
metrics_efficientnet_S_512,0.092274,18482311,390152000000,164707000000,5414801408,256,1011.3770728239905,71.52
metrics_focalnet_S_224,0.38652729988098145,58177087,91690491672,84669046298,1469369856,4096,3159.022373486495,86.5
metrics_focalnet_S_384,0.4307103455066681,58177087,249660000000,228899000000,3361624576,1024,1129.3915939818392,86.5
metrics_focalnet_S_512,0.4418700337409973,58177087,436043000000,399095000000,5553292288,512,654.3623408847509,86.5
metrics_hivit_tiny_224,0.32908132672309875,5498965,26365686529,16506934275,605068288,2048,8049.533693840639,79.4
metrics_hydra_S_224,0.32335,24584599,96538067328,55738920194,1006853632,1024,6091.608210931274,79.8
metrics_hydra_S_384,0.15015068650245667,24730519,278904000000,158963000000,2553954816,512,2141.772722407881,79.8
metrics_hydra_S_512,0.066414,24902551,495052000000,281853000000,4405643776,256,1201.6596995200114,79.8
metrics_linformer_S_224,0.38013,25781143,96552591744,63314539010,1203476480,1024,5167.201783461306,81.45
metrics_linformer_S_384,0.31019043922424316,28261783,278946000000,181148000000,3058213376,512,1810.1985506361887,81.45
metrics_linformer_S_512,0.019969,31186327,495127000000,321259000000,5249134592,256,989.4068891144178,81.45
metrics_mixer_S16_224,0.14407753944396973,23140535,139811000000,66802472450,993879552,1024,5797.454795360614,73.8
metrics_nextvit_S_224,0.2301,46106455,298417000000,124706000000,1652105728,512,3056.7077776784413,82.5
metrics_nextvit_S_384,0.26131,46106455,857100000000,346645000000,4253136896,256,1167.5054040997475,82.5
metrics_nextvit_S_512,0.26416,46106455,1518500000000,611249000000,7532179456,128,654.1545777188659,82.5
metrics_nystrom_S32_224,0.048484332859516144,24584599,98066744316,57322985990,1059405824,1024,5196.056363680273,0.802727401
metrics_nystrom_S32_384,0.052808948,24730519,282422000000,162621000000,2583136768,512,1871.182734918961,0.802727401
metrics_nystrom_S32_512,0.050773002207279205,24902551,500915000000,287954000000,4428968448,256,1058.7656727401002,0.802727401
metrics_polysa_S_224,0.32925212383270264,24614503,96538104192,55728245954,975302656,1024,6402.030014,0.797354817
metrics_polysa_S_384,0.33592113852500916,24815143,278904000000,158932000000,2466820096,512,2251.8004360241266,0.797354817
metrics_polysa_S_512,0.3342803418636322,25051687,495052000000,281796000000,4254400000,256,1251.1566633600082,0.797354817
metrics_rest_S_224,0.36356037855148315,19337867,129814000000,53226464514,1134487040,1024,4361.562104,79.6
metrics_rest_S_384,0.40671443939208984,19337867,376928000000,152016000000,3130700288,256,1389.4755428825156,79.6
metrics_rest_S_512,0.3736908435821533,19337867,675751000000,276388000000,5868216320,128,699.3667522049685,79.6
metrics_swin_S_224,0.38142,57892129,92736146691,85534634885,1435592704,4096,3546.88839,84.87
metrics_swin_S_448,0.43186,57892129,340362000000,311368000000,4306654720,1024,928.8634315158837,84.87
metrics_switch_S_224,0.32439,123873271,96591667584,61613230914,1611072512,1024,5388.809144353874,82.18
metrics_switch_S_384,0.37289,128546279,278949000000,175752000000,4183842816,512,1884.0671494278406,82.18
metrics_switch_S_512,0.36523,134254375,495094000000,309963000000,7342833152,256,1048.8813501297654,82.18
metrics_tnt_S_224,0.35756,23765399,113760000000,56906432862,1058406400,1024,4553.741453,81.3
metrics_tnt_S_384,0.3736,23765399,329558000000,164649000000,3148476416,512,1513.2736626168793,81.3
metrics_tnt_S_512,0.29888,23765399,585904000000,292555000000,5552676864,256,845.5696477558264,81.3
metrics_twins_S_224,0.3779,24043799,28695009280,28459456512,898252800,4096,5985.116882,81.7
metrics_twins_S_384,0.40875,24043799,82851192832,82000982016,2371846144,1024,2072.3015397019716,81.7
metrics_twins_S_512,0.40705,24043799,147232342016,145788510208,4119855104,512,1153.0975613285543,81.7
metrics_vit_S16_224,0.33449,22050535,91958812672,45975890944,986120192,1024,5837.009476,81.39
metrics_vit_S16_384,0.36987,22050535,268918784000,134453964800,2784821248,512,1987.416626,81.39
metrics_vit_S16_512,0.38302,22050535,478993408000,239489531904,4893696000,256,1106.8219019044373,81.39
metrics_xcit_S12_224,0.33754,26250087,22696278016,45392556032,1089339392,4096,6196.786688,82.0
metrics_xcit_S12_384,0.36788,26250087,66208997376,132417994752,3035111424,1024,2109.479052,82.0
metrics_xcit_S12_512,0.32993,26250087,117794799616,235589599232,5366063104,512,1187.2226406609003,82.0
metrics_coat_mini_224,0.04834,10108279,28497000000,28769000000,1020928000,4096,2868.949468,0.811543226
metrics_coat_mini_384,0.079248,10108279,80882000000,81617000000,2891804672,1024,986.3729065,0.811543226
metrics_coat_mini_512,0.07991,10108279,143393000000,144793000000,5127135232,512,553.8459895,0.811543226
metrics_convvit_B_224,0.44283,85804567,185657000000,172027000000,1994850816,2048,3629.665988,84.4
metrics_convvit_B_384,0.46851,85804567,530861000000,569978000000,7207919616,128,841.2386069,84.4
metrics_focalnet_B_224,0.44283,88817799,192453000000,176808000000,2461007872,2048,1845.543011,86.5
metrics_focalnet_B_384,0.47736,88817799,527280000000,480898000000,5602992128,512,651.8571682,86.5
metrics_focalnet_B_512,0.50302,88817799,936508000000,848248000000,9383858176,256,371.9490052,86.5
metrics_hydra_B_224,0.43551,86788439,316116000000,187419000000,2983944192,512,3212.2625,79.8
metrics_hydra_B_384,0.20516,87360151,900830000000,527750000000,7462199296,128,1119.4893,79.8
metrics_linformer_B_224,0.43978,86005623,316196000000,211830000000,2818408960,512,2850.3044,81.45
metrics_linformer_B_384,0.35977,91349943,913960000000,599682000000,7099228160,128,935.8768,81.45
metrics_nextvit_B_224,0.28,89580711,1037000000000,431660000000,5745360896,256,1572.1714,82.5
metrics_polysa_B_224,0.43945,86741047,316196000000,187347000000,2805923328,512,3385.3476,0.797354817
metrics_polysa_B_384,0.38085,87617319,913957000000,527580000000,6905503744,128,1177.0449,0.797354817
metrics_rest_B_224,0.41726,29688331,195810000000,79942000000,2037276672,512,2527.1085,79.6
metrics_rest_B_384,0.46164,29688331,569344000000,229224000000,5561180160,128,817.3668,79.6
metrics_rest_B_512,0.43,29688331,1016900000000,415408000000,9783054336,64,399.2832,79.6
metrics_swin_B_224,0.44283,86745641,194621000000,179380000000,2558566400,2048,2042.5009,85.27
metrics_swin_B_384,0.48118,86745641,706344000000,643974000000,7944118272,512,566.2284,85.27
metrics_switch_B_224,0.42386,239613111,316271000000,205386000000,5289476096,512,2672.8782,82.18
metrics_tnt_B_224,0.38516,65621479,388380000000,194386000000,2568601600,512,2283.5626,82.8
metrics_tnt_B_384,0.42193,65621479,1120800000000,560762000000,7278247936,128,791.6459,82.8
metrics_twins_B_224,0.42386,55980647,81826000000,81195000000,1948041216,2048,3213.5175,83.4
metrics_twins_B_384,0.45802,55980647,236060000000,234234000000,5313855488,512,1108.5459,83.4
metrics_twins_B_512,0.46234,55980647,419202000000,415965000000,9393750016,256,617.7143,83.4
metrics_vit_B16_224,0.38953,86567015,356218000000,178100000000,1955135488,512,3206.1133,82.7
metrics_vit_B16_384,0.43451,86567015,1038400000000,519171000000,5525991424,128,1101.1396,82.7
metrics_xcit_S24_224,0.36765,47670087,44956000000,89912000000,2083446784,2048,3360.0085,82.6
metrics_xcit_S24_384,0.39668,47670087,131112000000,262225000000,5765316608,512,1147.2427,82.6
metrics_xcit_M24_224,0.40497,83983463,72037000000,144075000000,2990456832,1024,2185.7042,82.7
metrics_xcit_M24_384,0.43617,83983463,210199000000,420398000000,8229117952,256,748.8736,82.7
metrics_coat_tiny_224_2,0.039713401,5733291,33223017113,34437621482,1026958336,4096,2712.978911837845,0.780989826
metrics_hivit_small_224,0.36723,22296949,97524000000,61086000000,1030225920,1024,4701.7432,82.1
metrics_hivit_base_224,0.41278,85882837,384614000000,240818000000,3097403392,512,2009.1853,84.3
metrics_convvit_S_512_2,0.40738558769226074,21927767,243424000000,317918000000,8545313280,128,765.8660617453924,82.29
metrics_efficientmod_B_224,0.30993,31502151,36088000000,36754000000,1081466880,8192,6045.1255,83.3
metrics_efficientmod_B_384,0.42804,31502151,97641000000,113625000000,3137093632,2048,2189.6614,83.3
metrics_efficientmod_B_512,0.41901,31502151,170498000000,228705000000,5168758784,1024,1228.7012,83.3
metrics_mixer_B16_224,0.18906,59881003,526960000000,263418000000,2512486400,512,2748.7378,76.44
metrics_vit_B32_224,0.2949,88225767,90012000000,45000000000,1855832064,1024,5527.5741,75.73
metrics_xcit_B24_224,0.41728,188858919,143936000000,287872000000,5553750016,512,1309.0695,82.9
metrics_xcit_B24_384,0.43845,188858919,419984000000,839968000000,15317049344,128,447.7042,82.9
